CSI CODE(full Code);Code_Main_Division;Name_Main_Division;Sub_Division1_Code;Sub_Division1_Name;Sub_Division2_Code;Sub_Division2_Name_2;ITEM DESCRIPTION_Code_Item;ITEM DESCRIPTION_Name_Item;UNIT;DAILY OUTPUT;MAN HOURS;EQUIP. HOURS;CREW STRUCTURE COMBINED;Crew_Number1;Crew_Memeber_ Desc.1;Crew_Memeber_ Number2;Crew_Memeber_ Desc.2;Crew_Memeber_ Number3;Crew_Memeber_ Desc.3;Crew_Memeber_ Number4;Crew_Memeber_ Desc.4;Crew_Memeber_ Number5;Crew_Memeber_ Desc.5;Crew_Memeber_ Number6;Crew_Memeber_ Desc.6;Crew_Memeber_ Number7;Crew_Memeber_ Desc.7;Crew_Memeber_ Number8;Crew_Memeber_ Desc.8;Crew_Memeber_ Number9;Crew_Memeber_ Desc.9;Crew_Memeber_ Number10;Crew_Memeber_ Desc.10;Crew_Memeber_ Number11;Crew_Memeber_ Desc.11;Crew_Memeber_ Number12;Crew_Memeber_ Desc.12;Crew_Memeber_ Number13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-0950;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;0950;Drilling core, in 200 mm concrete slab, including layout & setup, diameter 200 mm;EA;23.42;1.067;0.342;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-1100;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;1100;Drilling core, in 150 mm concrete slab, including layout & setup, diameter 250 mm;EA;28.520;0.877;0.281;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-1110;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;1110;Drilling core, in 200 mm concrete slab, including layout & setup, diameter 250 mm;EA;20.230;1.236;0.395;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-1200;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;1200;Drilling core, in 200 mm concrete slab, including layout & setup, diameter 400 mm;EA;9.770;2.559;0.819;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-1790;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;1790;Core drilling in 200 mm prestressed hollow core plank, including layout & setup, diameter 25mm;EA;36.000;0.694;0.222;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-1810;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;1810;Core drilling in 200 mm prestressed hollow core plank, including layout & setup, diameter 76 mm;EA;30.000;0.833;0.267;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-1850;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;1850;Core drilling in 200 mm prestressed hollow core plank, including layout & setup, diameter 150 mm;EA;24.000;1.042;0.333;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-1850;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;1850;For core drilling horizontally add to above items.;EA;%;0.150;0.150;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 128-0100;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 128;TEST PITS:;0100;Test Pit, Hand Digging, Light Soil;CUM;3.500;2.286;2.286;1.00 Common Laborer 1.00 Tool Set;1.00;Common Laborer;1.00;Tool Set;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 128-0120;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 128;TEST PITS:;0120;Test Pit, Hand Digging, Heavy Soil;CUM;1.750;4.571;4.571;1.00 Common Laborer 1.00 Tool Set;1.00;Common Laborer;1.00;Tool Set;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
